SAMPLE_ID,STRUCTURE_ID,MEASURABLE?,SAMPLE_STATUS,SAMPLE_CURRENT_STATUS,TERMINATION_CAUSE,TERMINATION_STEP,TERMINATION_DETAILS,RXN_CHEMISTRY_TYPE,REACTION_SCALE_(mmol),SYNTHESIS_COMMENTS,PREFERRED_LCMS_METHOD,SPE_METHOD,SELECTED_FRACTIONS,VOLUME_COLLECTED_(mL),TOTAL_FRACTIONS_COLLECTED,RECOVERED_SAMPLE_DRY_MASS_(mg),PERCENT_YIELD,%_PURITY_(BY_LCMS),PURIFICATION_COMMENTS,
00YRB22-059-100,00YRB22-059-100,,Failed,Resynthesis,System/Automation Error,PurLCMS (SAP6),"LC system/solvent issues; poor peak shape, below slope threshold",amide coupling,0.1,,Gemini LpH,MCX,F3L,0,,,53.00%,,,
00YRB22-059-101,00YRB22-059-101,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L/F4S,11.78,2,21.6,0.00%,98%,,
00YRB22-059-102,00YRB22-059-102,,Failed,Terminated,,,,amide coupling,0.1,,,,,,,,5.70%,,,
00YRB22-059-103,00YRB22-059-103,TRUE,Failed,Terminated,Challenges of Sample/Chemistry,DA/NMR QC,"Insufficient COI detected, below threshold",amide coupling,0.1,,Gemini LpH,MCX,F3L,8.13,1,2.3,44.40%,97%,,
00YRB22-059-103_S2,00YRB22-059-103,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,16.53,2,18,57.40%,100%,,
00YRB22-059-104,00YRB22-059-104,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L/F1S,13.41,1,23.2,0.00%,100%,,
00YRB22-059-105,00YRB22-059-105,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),No conversion (SM is major peak),amide coupling,0.1,Failed under Tier 2 conditions; only SM observed,,,,,,,0.00%,,,
00YRB22-059-106,00YRB22-059-106,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),No conversion (SM is major peak),amide coupling,0.1,Failed under Tier 2 conditions; only SM observed,,,,,,,0.00%,,,
00YRB22-059-107,00YRB22-059-107,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),No conversion (SM is major peak),amide coupling,0.1,Failed under Tier 2 conditions; only SM observed,,,,,,,62.40%,,,
00YRB22-059-108,00YRB22-059-108,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,12.63,1,26.3,62.60%,100%,"Forced spe run to run gemini 
;COI crashed out as eluted;;;",
00YRB22-059-109,00YRB22-059-109,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,12.36,1,26.4,61.00%,93%,,
00YRB22-059-110_I1,00YRB22-059-110,TRUE,Failed,Repurification,Challenges of Sample/Chemistry,PurLCMS (SAP6),"Insufficient COI detected, below threshold",amide coupling,0.1,Isobars observed,Xbridge HpH,MCX,F3L/F4S,14.43,3,25.7,77.10%,81%,,
00YRB22-059-111,00YRB22-059-111,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,14.59,1,32.5,68.00%,99%,,
00YRB22-059-112,00YRB22-059-112,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,14.1,1,29.6,16.60%,100%,,
00YRB22-059-113,00YRB22-059-113,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,21.07,3,7.2,63.80%,99%,,
00YRB22-059-114,00YRB22-059-114,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L/F1S,18.71,1,27.6,55.10%,99%,,
00YRB22-059-115,00YRB22-059-115,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L/F4S,33,2,24.4,62.80%,99%,,
00YRB22-059-116,00YRB22-059-116,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,25.92,1,27.8,66.40%,100%,,
00YRB22-059-117,00YRB22-059-117,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,33,2,29.4,38.10%,99%,,
00YRB22-059-118,00YRB22-059-118,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,26.83,1,17.1,72.50%,99%,,
00YRB22-059-119,00YRB22-059-119,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L/F4S,23.73,1,32.5,0.00%,99%,"send to IO2;;;""Integrated baseline. Possible remdiation:",
00YRB22-059-120,00YRB22-059-120,,Failed,Resynthesis,Challenges of Sample/Chemistry,Synthesis (SAP1/2),No conversion (SM is major peak),amide coupling,0.1,,,,,,,,34.70%,,1) End integration at 1.75 min,
00YRB22-059-121,00YRB22-059-121,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L/F1S,11.73,1,16.3,58.90%,100%,2) Change Height(unscaled)/FWHH from 0 to 200,
00YRB22-059-122,00YRB22-059-122,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,13.37,1,26.3,34.30%,100%,"3) Decrease Estimated Peak width to 1.4"";",
00YRB22-059-123,00YRB22-059-123,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,17.1,1,15.4,26.40%,100%,to IO2,
00YRB22-059-124,00YRB22-059-124,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,13.77,1,11.7,62.90%,99%,extend SPE evap for F3 evap,
00YRB22-059-125,00YRB22-059-125,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Xbridge HpH,MCX,F3L,28.06,1,28.2,7.20%,99%,"extend SPE evap for F3 evap;;;""main peak observed in QC is 475. Virscidian IDed COI through secondary adducts; not primary. Adducts matched M+Na and M-1"";",
00YRB22-059-126,00YRB22-059-126,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L/F4S,29.98,1,31.5,62.00%,100%,extend SPE evap for F3 evap,
00YRB22-059-127,00YRB22-059-127,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L/F4S,17.43,1,27.6,63.80%,99%,to IO2;Manually Selected FS-2;;DA rerun after no COI was detected in the SAP8 DA on 1/28/2022.;,
00YRB22-059-128,00YRB22-059-128,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,17.03,1,28.4,13.00%,100%,,
00YRB22-059-129,00YRB22-059-129,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,11.57,1,5.8,65.50%,93%,,
00YRB22-059-130,00YRB22-059-130,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,17.93,1,29.2,52.10%,99%,"RunNextMethod;""no COI eluted mid-run; eluted in post-run macro"";;;",
00YRB22-059-131,00YRB22-059-131,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,12.9,1,23.1,53.40%,100%,";""SAP6-1 solvent system issues; COI eluted in solvent front. 2nd injection done offline manually/all FS fractions checked in SAP5 for COI; 3 fractions collected from 2nd injection"";no PO13 per Scott;;",
00YRB22-059-132,00YRB22-059-132,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,12.84,1,23.8,58.20%,99%,"RunNextMethod;manually collected 1 fraction/discard;;""rerun QC; SAP5-1 misconfigured"";",
00YRB22-059-133,00YRB22-059-133,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,12.04,1,25.8,67.00%,100%,RunNextMethod;medium gradient method;;;,
00YRB22-059-134,00YRB22-059-134,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,13.98,1,29.7,53.30%,99%,"RunNextMethod; Manually exchanged F4 instead of F1 in PurLCMS;;;""rerun QC; SAP5-1 misconfigured"";",
00YRB22-059-135,00YRB22-059-135,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,13.43,1,23.8,66.70%,100%,"Manually exchanged F4 instead of F1 in PurLCMS;;;""rerun QC; SAP5-1 misconfigured"";",
00YRB22-059-136,00YRB22-059-136,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Xbridge HpH,MCX,F3L,14,1,29.8,24.40%,100%,";;;""rerun QC; SAP5-1 misconfigured"";",
00YRB22-059-137,00YRB22-059-137,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L/F4S,11.49,4,11.1,61.00%,100%,send to IO2,
00YRB22-059-138,00YRB22-059-138,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Xbridge HpH,MCX,F3L,23.86,1,27.8,58.20%,97%,,
00YRB22-059-139,00YRB22-059-139,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,16.28,1,26.5,62.30%,100%,"RunNextMethd;;added MeOH to confirm dryness pre-PO12 ;""Remade final QC to determine purity. 25ul from second A1 vial was taken out and volume has been updated",
00YRB22-059-140,00YRB22-059-140,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L/F1S,25.74,2,30.3,0.00%,100%,";
RunNextMethd;SAP6-1 no MS signal; manually collected fractions. Added collected fraction from first run; 700001CQJ 13.24mL; into Selected fraction of 2nd run for a single PO12 run for a total of 23.42mL.",
00YRB22-059-141,00YRB22-059-141,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),No conversion (SM is major peak),amide coupling,0.1,Failed under Tier 2 conditions; only SM observed,,,,,,,54.50%,,,
00YRB22-059-142,00YRB22-059-142,TRUE,Complete,Completed & Shipped,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L/F1S,19.63,1,26.5,,98%,rerun QC; SAP5-1 misconfigured,
00YRB22-061-001,00YRB22-061-001,,In progress,Awaiting materials,,,,amide coupling,0.1,,,,,,,,,,,
00YRB22-061-002,00YRB22-061-002,,In progress,Awaiting materials,,,,amide coupling,0.1,,,,,,,,,,"Manually generated SAP 6 run. Send to IO2;""manually collected only fraction; minimal ionization/COI observed"";;;",
00YRB22-062-001,00YRB22-062-001,,In progress,Awaiting materials,,,,amide coupling,0.1,,,,,,,,,,,
00YRB22-062-002,00YRB22-062-002,,In progress,Awaiting materials,,,,amide coupling,0.1,,,,,,,,,,,
00YRB22-062-003,00YRB22-062-003,,In progress,Awaiting materials,,,,amide coupling,0.1,,,,,,,,6.00%,,,
EP3EE36-098,EP3EE36-098,TRUE,Complete,Completed & Stored,,,,,0.1,,Gemini LpH,HLB,F3L/F4S,9,1,12,75.90%,97%,send to IO2; manual PurLCMS run,
EP3EE36-107,EP3EE36-107,TRUE,Complete,Completed & Stored,,,,,0.1,,Gemini LpH,HLB,F3L/F4S,13.15,1,16.4,63.20%,98%,"RunNextMethod; send to IO2;""manually collected largest peak; no ionization observed for MW in SAP6 run. Should have been acid sensitive submission"";;;",
EP3EE36-108,EP3EE36-108,TRUE,Complete,Completed & Stored,,,,,0.1,,Gemini LpH,HLB,F3L/F4S,12.85,1,12.9,68.10%,99%,RunNextMethod; send to IO2,
EP3EE36-109,EP3EE36-109,TRUE,Complete,Completed & Stored,,,,,0.1,,Gemini LpH,HLB,F3L/F4S,10.45,1,15.6,63.40%,100%,RunNextMethod; send to IO2,
EP3EE36-110,EP3EE36-110,TRUE,Complete,Completed & Stored,,,,,0.1,,Gemini LpH,HLB,F3L/F4S,13.93,1,14.2,17.10%,100%,send to IO2,
EP3EE36-111,EP3EE36-111,TRUE,Complete,Completed & Stored,,,,,0.1,,Gemini LpH,HLB,F3L,10.05,2,3.7,52.40%,93%,send to IO2,
EP3EE36-126,EP3EE36-126,TRUE,Complete,Completed & Stored,,,,,0.1,,Xbridge HpH,HLB,F4L/F3S,33,2,20.6,3.50%,99%,send to IO2,
EP3EE36-127,EP3EE36-127,TRUE,Complete,Completed & Stored,,,,,0.1,,Xbridge HpH,HLB,F4L/F3S,16.35,3,12,0.00%,100%,,
EP3EE36-128,EP3EE36-128,,Failed,Terminated,System/Automation Error,PurLCMS (SAP6),LC system/solvent issues,,0.1,,Gemini LpH,HLB,F3L/F4S,0,,,0.00%,,,
EP3EE36-128_S2,EP3EE36-128,,Complete,Completed & Stored,,,,,0.1,,Gemini LpH,HLB,F4L/F3S,38.12,5,,16.50%,,"Evap extended to 25200 seconds (7hrs)
",
LLY-2022-042-001,LLY-2022-042-001,TRUE,Failed,Repurification,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F4S,12.18,5,7.4,1.70%,71%,";""2isobars IDed in SAP4; both injected in SAP6 and collected. RT in SAP6 matched/same method so combining both vials in PO12 for a single PO13/DA. 2nd Collected fraction 700000MAA"";;;",
LLY-2022-042-001_RP,LLY-2022-042-001,TRUE,Failed,Terminated,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F4S,19.51,4,4.8,23.80%,85%,"Vial broke during work up; was worked up offline and transferred onto cartridge. Virscidian analysis originally was F2S/F3L but decided to go with F3L/F4S to take 10% loss
",
LLY-2022-042-002,LLY-2022-042-002,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F4S,8.11,1,10.7,46.80%,98%,to IO2,
LLY-2022-042-003,LLY-2022-042-003,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F4S,21.52,1,20.9,52.50%,100%,"to IO2;;""SAP8 dropped the only A1; sucked volume off the deck. 1/18/2022- re-QCed A1 vial/updated volume in web to 1100ul from 2045ul. Orignal net weight 8.9mg; updated to 4.8mg based on new A1 volume"";;",
LLY-2022-042-004,LLY-2022-042-004,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L,14.57,1,22.8,4.20%,100%,"original SPE run made with LCMS vial/blocked first day. Extended evap in SAP4 to 1.5hrs for F3 fraction
",
LLY-2022-042-005,LLY-2022-042-005,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,19.08,1,18,0.00%,99%,to IO2,
LLY-2022-042-006,LLY-2022-042-006,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,HATU amide formation,0.1,,,,,,,,44.40%,,"aggregated with LLY-28=blocked first day. Send to IO2;;""QC remade and rerunning on Xbridge and Gemini and Luna",
LLY-2022-042-007,LLY-2022-042-007,TRUE,Failed,Repurification,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L,26.52,1,19.9,1.50%,53%,,
LLY-2022-042-007_RP,LLY-2022-042-007,TRUE,Failed,Terminated,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L,10.18,1,4.7,59.20%,88%,";;
to IO2
to IO2

to IO2
to IO2
to IO2

to IO2
to IO2

to IO2
to IO2

to IO2",
LLY-2022-042-008,LLY-2022-042-008,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L,14.49,1,25.7,0.00%,100%,"
to IO2
to IO2
to IO2
to IO2
to IO2;error in SIS; manual realization of collected fraction/PO12 run",
LLY-2022-042-009,LLY-2022-042-009,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",HATU amide formation,0.1,No COI detected in RM-LCMS,,,,,,,24.50%,,";;;
to IO2
to IO2
to IO2",
LLY-2022-042-010,LLY-2022-042-010,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,8.48,1,11.7,0.00%,99%,"
to IO2",
LLY-2022-042-011,LLY-2022-042-011,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,HATU amide formation,0.1,,,,,,,,0.00%,,,
LLY-2022-042-012,LLY-2022-042-012,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,HATU amide formation,0.1,,,,,,,,0.00%,,"
to IO2
significant product in all SPE fractions
extend SPE evap for F3 evap




send to IO2;main mass observed 306; manually collected one fraction=discard"";;;",
LLY-2022-042-013,LLY-2022-042-013,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,HATU amide formation,0.1,,,,,,,,28.00%,,"send to IO2;""manually collected one of 2 main peaks. No COI mass observed in CS; collected farction main mass 242. Uncollected large peak main mass 306"";;;",
LLY-2022-042-014,LLY-2022-042-014,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,13.66,1,12.5,0.00%,100%,,
LLY-2022-042-015,LLY-2022-042-015,,Failed,Terminated,System/Automation Error,PurLCMS (SAP6),LCMS detection issue,HATU amide formation,0.1,,Gemini LpH,HLB,F1L/F3S,,2,,16.70%,,,
LLY-2022-042-016,LLY-2022-042-016,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F1S,8.53,2,7.5,18.90%,100%,";fraction close to solvent front;""Bad final weight recorded during first run. Original PO12 was cloned and group 2 was removed to obtain a correct final weight. ; Transferring sample to a new vial and rerunning PO12 on the new vial. "";;",
LLY-2022-042-017,LLY-2022-042-017,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F1S,8.43,1,8.5,2.50%,98%,";;""PO13 run manually made due to group1 vial in PO12 run not having accurate results. ",
LLY-2022-042-018,LLY-2022-042-018,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F1S,10.83,1,9.5,59.80%,100%,,
LLY-2022-042-019,LLY-2022-042-019,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,16.97,1,26.7,31.90%,100%,";;
;COI crashed out as collected fraction eluting;;;
extend SPE evap for F3 evap;group 1;group1;no COI in 'Selected' fraction; peak observed MW=281.1. Will not repurify; plenty of product from group 2. No ASV data. ",
LLY-2022-042-020,LLY-2022-042-020,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,14.81,1,14.7,0.00%,98%,";
extend SPE evap for F3 evap;group 2; 2nd group manually selected"";group2;;",
LLY-2022-042-021,LLY-2022-042-021,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",HATU amide formation,0.1,,Xbridge HpH,MCX,,,,,0.00%,,To IO2;poor COI ionization;;;,
LLY-2022-042-022,LLY-2022-042-022,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",HATU amide formation,0.1,,Xbridge HpH,MCX,,,,,43.00%,,,
LLY-2022-042-023,LLY-2022-042-023,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,17.99,1,18.6,31.80%,100%,extend SPE evap for F3 evap;Low MS threshold (2K) triggered collection early. Manually stoppped first fraction collection and manually collected the 2 COI product fractions;;;,
LLY-2022-042-024,LLY-2022-042-024,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,9.67,1,14.2,42.50%,100%,Send to IO2;poor COI ionization;;;,
LLY-2022-042-025,LLY-2022-042-025,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F4S,14.33,1,18.5,49.20%,100%,;manually collected first fraction due to early starting gradient/concern it was sample;;;,
LLY-2022-042-026,LLY-2022-042-026,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,19.05,1,22.6,11.40%,99%,,
LLY-2022-042-027,LLY-2022-042-027,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F1S,11.86,1,4.8,36.60%,95%,"extend evap for F3;;""original A1s from PO13 destroyed when sample was transferred for repurification. No repurification needed (made a new QC;) so new A1s created for 10mM solution. 500428MAC and 500428MAQ original vials"";;",
LLY-2022-042-028,LLY-2022-042-028,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,HLB,F3L/F4S,33,2,16.4,44.50%,100%,extend SPE evap for F3 evap,
LLY-2022-042-029,LLY-2022-042-029,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,15.61,1,21.2,27.50%,99%,Send to IO2;poor COI ionization;;;,
LLY-2022-042-030,LLY-2022-042-030,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F1S,12.47,1,12.7,35.70%,100%,did not work up well; SAP4 froze with sample on deck,
LLY-2022-042-031,LLY-2022-042-031,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F1S,7.86,2,16,37.60%,100%,Send to IO2,
LLY-2022-042-032,LLY-2022-042-032,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F1L/F3S,12.46,1,17.4,24.90%,100%,,
LLY-2022-042-033,LLY-2022-042-033,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F4S,30.32,3,10.7,53.50%,99%,,
LLY-2022-042-034,LLY-2022-042-034,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,19.56,1,23.4,4.20%,97%,;medium gradient;;;,
LLY-2022-042-035,LLY-2022-042-035,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,11.86,1,17,6.80%,100%,extend SPE evap for F3 evap;poor peak shape;;;,
LLY-2022-042-036,LLY-2022-042-036,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,14.43,2,3.4,0.00%,94%,extend SPE evap for F3 evap;medium gradient;;;,
LLY-2022-042-037,LLY-2022-042-037,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",HATU amide formation,0.1,,,,,,,,22.90%,,,
LLY-2022-042-038,LLY-2022-042-038,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F1S,11.41,1,9.9,31.30%,99%,,
LLY-2022-042-039,LLY-2022-042-039,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,12.28,1,13.6,0.00%,99%,Send to IO2,
LLY-2022-042-040,LLY-2022-042-040,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",HATU amide formation,0.1,,,,,,,,34.20%,,;One peak manually collected but was not selected. Selected peak has poor peak shape. ;;;,
LLY-2022-042-041,LLY-2022-042-041,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,13.58,1,16.3,12.80%,99%,SAP4 aborted,
LLY-2022-042-042,LLY-2022-042-042,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F1S,9.29,1,5.7,7.40%,99%,,
LLY-2022-042-043,LLY-2022-042-043,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F4S,6.92,3,3.2,36.10%,99%,,
LLY-2022-042-044,LLY-2022-042-044,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,16.73,1,15.6,34.80%,99%,;;Lost a decent amount of sample from offline evap overnight;;,
LLY-2022-042-045,LLY-2022-042-045,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,10.17,1,15.1,4.00%,99%,,
LLY-2022-042-046,LLY-2022-042-046,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,11.33,1,17.4,35.80%,100%,SAP4 aborted,
LLY-2022-042-047,LLY-2022-042-047,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,24.5,1,15.6,26.20%,98%,send to IO2,
LLY-2022-042-048,LLY-2022-042-048,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,16.38,1,12.1,22.90%,99%,,
LLY-2022-042-049,LLY-2022-042-049,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,21.79,1,10.3,18.40%,100%,extend evap for F3,
LLY-2022-042-050,LLY-2022-042-050,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Gemini LpH,MCX,F3L/F1S,11.18,1,8.9,46.10%,99%,,
LLY-2022-042-051,LLY-2022-042-051,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,12.67,1,17.5,52.20%,99%,,
LLY-2022-042-052,LLY-2022-042-052,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,17.89,1,23.3,64.30%,98%,,
LLY-2022-042-053,LLY-2022-042-053,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,22.16,1,27.8,3.00%,96%,";""Over pressured; manual injection was used to recover sample. LCMS samples needed to analyze. Method MS signal changed to SIM; not Scan for run; all fractions manually collected"";;;",
LLY-2022-042-054,LLY-2022-042-054,TRUE,Complete,Completed & Shipped,,,,HATU amide formation,0.1,,Xbridge HpH,MCX,F3L/F1S,12.1,1,13.4,46.20%,100%,,
00YLL22-043-001,00YLL22-043-001,TRUE,Complete,Completed & Shipped,,,,Knoevenagel condensation,0.1,,Gemini LpH,HLB,F3L/F4S,14.9,1,15,44.10%,99%,"RunNextMethod. Impurity no less seperated in Luna than it was Gemini. runPrep Gemini;""MS threshold 35K; sample only got up to 40K; minimal collection. Manual selected for a PO12 final weight"";;""Manual PO12 run/vial selected still had an SPE sample string. DA run resulted in an SPE XML; not a DA XML"";",
00YLL22-043-002,00YLL22-043-002,TRUE,Complete,Completed & Shipped,,,,Knoevenagel condensation,0.1,,Gemini LpH,HLB,F3L/F4S,11.81,1,12.8,0.00%,96%,to IO2; almost equal amounts of COI in F4 and F1,
00YLL22-043-003,00YLL22-043-003,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,Knoevenagel condensation,0.1,,Gemini LpH,HLB,,,,,43.50%,,,
00YLL22-043-004,00YLL22-043-004,TRUE,Complete,Completed & Shipped,,,,Knoevenagel condensation,0.1,,Gemini LpH,HLB,F3L/F4S,15.96,1,12.5,0.00%,100%,,
00YLL22-043-005,00YLL22-043-005,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Knoevenagel condensation,0.1,,Gemini LpH,HLB,,,,,47.60%,,,
00YLL22-043-006,00YLL22-043-006,TRUE,Complete,Completed & Shipped,,,,Knoevenagel condensation,0.1,,Gemini LpH,HLB,F3L/F4S,10.32,1,16.5,0.00%,99%,Send to IO2,
